DateTime;Ticker;Accion;
2022-07-28 12:30;ETHUSDT;STRONG BUY;
2022-07-28 13:00;ETHUSDT;STRONG BUY;
2022-07-28 13:30;ETHUSDT;STRONG BUY;
2022-07-28 14:00;ETHUSDT;BUY;
2022-07-28 14:30;ETHUSDT;BUY;
2022-07-28 15:00;ETHUSDT;BUY;
2022-07-28 15:30;ETHUSDT;BUY;
2022-07-28 16:00;ETHUSDT;BUY;
2022-07-28 16:30;ETHUSDT;BUY;
2022-07-28 17:00;ETHUSDT;BUY;
2022-07-28 17:15;ETHUSDT;BUY;
2022-07-28 17:30;ETHUSDT;BUY;
2022-07-28 17:45;ETHUSDT;BUY;
2022-07-28 18:00;ETHUSDT;BUY;
2022-07-28 18:15;ETHUSDT;BUY;
2022-07-28 18:30;ETHUSDT;BUY;
2022-07-28 18:45;ETHUSDT;BUY;
2022-07-28 19:00;ETHUSDT;BUY;
2022-07-28 19:15;ETHUSDT;BUY;
2022-07-28 19:30;ETHUSDT;BUY;
2022-07-28 19:45;ETHUSDT;BUY;
2022-07-28 20:00;ETHUSDT;BUY;
2022-07-28 20:15;ETHUSDT;BUY;
2022-07-28 20:30;ETHUSDT;BUY;
2022-07-28 20:45;ETHUSDT;BUY;
2022-07-28 21:00;ETHUSDT;BUY;
2022-07-28 21:15;ETHUSDT;BUY;
2022-07-28 21:30;ETHUSDT;BUY;
2022-07-28 21:45;ETHUSDT;BUY;
2022-07-28 22:00;ETHUSDT;BUY;
2022-07-28 22:15;ETHUSDT;BUY;
2022-07-28 22:30;ETHUSDT;BUY;
2022-07-28 22:45;ETHUSDT;BUY;
2022-07-28 23:00;ETHUSDT;BUY;
2022-07-28 23:15;ETHUSDT;BUY;
2022-07-28 23:30;ETHUSDT;BUY;
2022-07-28 23:45;ETHUSDT;BUY;
2022-07-29 00:00;ETHUSDT;BUY;
2022-07-29 00:15;ETHUSDT;BUY;
2022-07-29 00:30;ETHUSDT;BUY;
2022-07-29 00:45;ETHUSDT;BUY;
2022-07-29 01:00;ETHUSDT;BUY;
2022-07-29 01:15;ETHUSDT;BUY;
2022-07-29 01:30;ETHUSDT;BUY;
2022-07-29 01:45;ETHUSDT;BUY;
2022-07-29 02:00;ETHUSDT;BUY;
2022-07-29 02:15;ETHUSDT;BUY;
2022-07-29 02:30;ETHUSDT;BUY;
2022-07-29 02:45;ETHUSDT;BUY;
2022-07-29 03:00;ETHUSDT;BUY;
2022-07-29 03:15;ETHUSDT;BUY;
2022-07-29 03:30;ETHUSDT;BUY;
2022-07-29 03:45;ETHUSDT;BUY;
2022-07-29 04:00;ETHUSDT;BUY;
2022-07-29 04:15;ETHUSDT;BUY;
2022-07-29 04:30;ETHUSDT;BUY;
2022-07-29 04:45;ETHUSDT;BUY;
2022-07-29 05:00;ETHUSDT;NEUTRAL;
2022-07-29 05:15;ETHUSDT;NEUTRAL;
2022-07-29 05:30;ETHUSDT;NEUTRAL;
2022-07-29 05:45;ETHUSDT;BUY;
2022-07-29 06:00;ETHUSDT;BUY;
2022-07-29 06:15;ETHUSDT;BUY;
2022-07-29 06:30;ETHUSDT;BUY;
2022-07-29 06:45;ETHUSDT;BUY;
2022-07-29 07:00;ETHUSDT;BUY;
2022-07-29 07:15;ETHUSDT;BUY;
2022-07-29 07:30;ETHUSDT;NEUTRAL;
2022-07-29 07:45;ETHUSDT;BUY;
2022-07-29 08:00;ETHUSDT;BUY;
2022-07-29 08:15;ETHUSDT;BUY;
2022-07-29 08:30;ETHUSDT;NEUTRAL;
2022-07-29 08:45;ETHUSDT;SELL;
2022-07-29 09:00;ETHUSDT;NEUTRAL;
2022-07-29 09:15;ETHUSDT;SELL;
2022-07-29 09:30;ETHUSDT;NEUTRAL;
2022-07-29 09:45;ETHUSDT;SELL;
2022-07-29 10:00;ETHUSDT;NEUTRAL;
2022-07-29 10:15;ETHUSDT;NEUTRAL;
2022-07-29 10:30;ETHUSDT;NEUTRAL;
2022-07-29 10:45;ETHUSDT;BUY;
2022-07-29 11:00;ETHUSDT;NEUTRAL;
2022-07-29 11:15;ETHUSDT;STRONG BUY;
2022-07-29 11:45;ETHUSDT;STRONG BUY;
2022-07-29 12:00;ETHUSDT;BUY;
2022-07-29 12:15;ETHUSDT;BUY;
2022-07-29 12:30;ETHUSDT;BUY;
2022-07-29 12:45;ETHUSDT;BUY;
2022-07-29 13:00;ETHUSDT;STRONG BUY;
2022-07-29 13:15;ETHUSDT;SELL;
2022-07-29 13:30;ETHUSDT;SELL;
2022-07-29 13:45;ETHUSDT;SELL;
2022-07-29 14:00;ETHUSDT;NEUTRAL;
2022-07-29 14:15;ETHUSDT;NEUTRAL;
2022-07-29 14:30;ETHUSDT;NEUTRAL;
2022-07-29 14:45;ETHUSDT;NEUTRAL;
2022-07-29 15:00;ETHUSDT;NEUTRAL;
2022-07-29 15:15;ETHUSDT;STRONG BUY;
2022-07-29 15:30;ETHUSDT;STRONG BUY;
2022-07-29 15:45;ETHUSDT;STRONG BUY;
2022-07-29 16:00;ETHUSDT;BUY;
2022-07-29 16:15;ETHUSDT;BUY;
2022-07-29 16:30;ETHUSDT;BUY;
2022-07-29 16:45;ETHUSDT;BUY;
2022-07-29 17:00;ETHUSDT;BUY;
2022-07-29 17:15;ETHUSDT;BUY;
2022-07-29 17:30;ETHUSDT;BUY;
2022-07-29 17:45;ETHUSDT;BUY;
2022-07-29 18:00;ETHUSDT;BUY;
2022-07-29 18:15;ETHUSDT;BUY;
2022-07-29 18:30;ETHUSDT;BUY;
2022-07-29 18:45;ETHUSDT;BUY;
2022-07-29 19:00;ETHUSDT;BUY;
2022-07-29 19:15;ETHUSDT;BUY;
2022-07-29 19:30;ETHUSDT;BUY;
2022-07-29 19:45;ETHUSDT;STRONG BUY;
2022-07-29 20:00;ETHUSDT;BUY;
2022-07-29 20:15;ETHUSDT;BUY;
2022-07-29 20:30;ETHUSDT;BUY;
2022-07-29 20:45;ETHUSDT;BUY;
2022-07-29 21:00;ETHUSDT;BUY;
2022-07-29 21:15;ETHUSDT;BUY;
2022-07-29 21:30;ETHUSDT;BUY;
2022-07-29 21:45;ETHUSDT;BUY;
2022-07-29 22:00;ETHUSDT;BUY;
2022-07-29 22:15;ETHUSDT;BUY;
2022-07-29 22:30;ETHUSDT;BUY;
2022-07-29 22:45;ETHUSDT;BUY;
2022-07-29 23:00;ETHUSDT;BUY;
2022-07-29 23:15;ETHUSDT;BUY;
2022-07-29 23:30;ETHUSDT;BUY;
2022-07-29 23:45;ETHUSDT;BUY;
2022-07-30 00:00;ETHUSDT;NEUTRAL;
2022-07-30 00:15;ETHUSDT;SELL;
2022-07-30 00:30;ETHUSDT;NEUTRAL;
2022-07-30 00:45;ETHUSDT;SELL;
2022-07-30 01:00;ETHUSDT;NEUTRAL;
2022-07-30 01:15;ETHUSDT;SELL;
2022-07-30 01:30;ETHUSDT;SELL;
2022-07-30 01:45;ETHUSDT;SELL;
2022-07-30 02:00;ETHUSDT;NEUTRAL;
2022-07-30 02:15;ETHUSDT;NEUTRAL;
2022-07-30 02:30;ETHUSDT;BUY;
2022-07-30 02:45;ETHUSDT;BUY;
2022-07-30 03:00;ETHUSDT;NEUTRAL;
2022-07-30 03:15;ETHUSDT;NEUTRAL;
2022-07-30 03:30;ETHUSDT;BUY;
2022-07-30 03:45;ETHUSDT;NEUTRAL;
2022-07-30 04:00;ETHUSDT;BUY;
2022-07-30 04:15;ETHUSDT;BUY;
2022-07-30 04:30;ETHUSDT;BUY;
2022-07-30 04:45;ETHUSDT;BUY;
2022-07-30 05:00;ETHUSDT;BUY;
2022-07-30 05:15;ETHUSDT;NEUTRAL;
2022-07-30 05:30;ETHUSDT;BUY;
2022-07-30 05:45;ETHUSDT;BUY;
2022-07-30 06:00;ETHUSDT;NEUTRAL;
2022-07-30 06:15;ETHUSDT;STRONG BUY;
2022-07-30 06:30;ETHUSDT;BUY;
2022-07-30 06:45;ETHUSDT;NEUTRAL;
2022-07-30 07:00;ETHUSDT;SELL;
2022-07-30 07:15;ETHUSDT;SELL;
2022-07-30 07:30;ETHUSDT;SELL;
2022-07-30 07:45;ETHUSDT;SELL;
2022-07-30 08:00;ETHUSDT;SELL;
2022-07-30 08:15;ETHUSDT;NEUTRAL;
2022-07-30 08:30;ETHUSDT;NEUTRAL;
2022-07-30 08:45;ETHUSDT;BUY;
2022-07-30 09:00;ETHUSDT;NEUTRAL;
2022-07-30 09:15;ETHUSDT;NEUTRAL;
2022-07-30 09:30;ETHUSDT;BUY;
